Item,Quantity,Designator,Value,Footprint,LCSC Part #,Comment
1,11,C1; C10; C12; C17; C20; C22; C23; C24; C26; C29; C9,100nF,603,C1591,
2,13,C11; C13; C14; C16; C18; C21; C25; C28; C3; C5; C6; C7; C8,10uF,805,C15850,
3,3,C15; C2; C4,1uF,603,C15849,
4,1,D1,BAT20J,D_SOD-323,C155590,
5,14,D10; D11; D12; D13; D14; D15; D16; D3; D4; D5; D6; D7; D8; D9,LED,603,C965807,
6,1,D2,SFH4547,LED_5mm_Side_Mount,C405273,
7,1,F1,500mA,1206,C220146,
8,1,J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2982555,
9,1,J2,Conn_01x50,TFT_2.83IN_240X320_50PIN,C11098,
10,1,J3,JST_PH_B2B-PH,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C160352,
11,1,J5,Micro_SD_Card,MicroSD Slot TF-01A,C20613191,
12,5,Q1; Q3; Q4; Q5; Q7,DMG2301L,SOT-23,C102619,
13,1,Q2,MBT3904DW1,SOT-363_SC-70-6,C110150,
14,1,Q6,FS8205A,SOT-23-6,C908265,
15,15,R1; R23; R31; R32; R33; R34; R35; R38; R39; R40; R41; R42; R43; R44; R5,2k2,603,C114662,
16,12,R10; R13; R14; R19; R20; R22; R24; R26; R30; R36; R37; R6,10k,603,C98220,
17,4,R11; R12; R25; R8,4k7,603,C99782,
18,4,R15; R16; R17; R18,10,603,C109318,
19,4,R2; R27; R28; R29,330,603,C105881,
20,1,R21,3R3,805,C2849062,
21,1,R3,1k,603,C22548,
22,1,R4,100,603,C125923,
23,2,R7; R9,5.1k,603,C114626,
24,25,S1; S10; S11; S12; S13; S14; S15; S16; S17; S18; S19; S2; S20; S22; S23; S24; S25; S26; S3; S4; S5; S6; S7; S8; S9,TL3342F160QG,SW_SPST_TL3342,C778172 ,
25,1,U1,DW01A,SOT-23-6,C18164398,
26,1,U11,TP4056,Infineon_PG-DSO-8-27_3.9x4.9mm_EP2.65x3mm,C725790,
27,1,U12,TCA8418,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C138713,
28,1,U2,XC6220B331,SOT-23-5,C86534,
29,1,U3,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,C84681,
30,1,U4,USBLC6-2P6,SOT-666,C2827693,
31,1,U5,LIS3DHTR,XDCR_LIS3DHTR,C15134,
32,1,U6,TSSP77038,Heimdall vertical,C3291489,
33,1,U7,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,C2913202,
34,1,U8,AP2112K-3.3,SOT-23-5,C51118,
35,1,U9,MAX17048G,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,C2682616,
,,,,,,
37,1,,2.8 TFT Display - 240x320 with Capacitive Touchscreen,,,https://www.adafruit.com/product/2770
38,1,,3.7V 2000mAh LiPo,,,https://eckstein-shop.de/LiPo-Akku-Lithium-Ion-Polymer-Batterie-37V-2000mAh-mit-JST-PHR-2-Stecker-LP103450
