Designator,Mid X,Mid Y,Rotation,Layer
AE1,55.500146,-85.711992,0.0,top
C1,237.5,-115.0,0.0,top
C10,85.7,-84.3,90.0,top
C11,67.25625,-109.45,270.0,top
C12,58.4,-114.9,90.0,top
C13,67.25,-93.6,0.0,top
C14,67.5,-91.85,180.0,top
C15,68.4,-122.2,90.0,top
C16,95.35,-113.45,90.0,top
C17,87.2,-84.3,90.0,top
C18,71.6,-88.161493,270.0,top
C19,67.1,-88.161493,270.0,top
C2,238.7,-109.1,90.0,top
C20,86.8,-110.5,0.0,top
C21,67.25,-95.6,0.0,top
C22,75.4,-86.2,180.0,top
C23,97.3,-91.0,0.0,top
C24,227.5,-109.2,0.0,top
C25,97.6,-94.1,270.0,top
C3,89.3,-107.2,270.0,top
C4,233.043,-109.195114,90.0,top
C5,233.049514,-112.28611,270.0,top
C6,83.1,-107.2,90.0,top
C7,86.7,-93.9,90.0,top
C8,88.7,-93.9,90.0,top
C9,99.4,-93.9,90.0,top
D1,226.9,-119.3,270.0,top
D2,59.676677,-102.0,90.0,top
D3,88.9,-101.7,180.0,top
D4,234.2,-96.6,90.0,top
D5,65.4,-106.1,90.0,top
F1,238.0,-95.1,0.0,top
FID1,239.500146,-119.111992,180.0,bottom
FID2,62.000146,-79.611992,180.0,bottom
FID3,239.500146,-119.111992,0.0,top
FID4,62.000146,-79.611992,0.0,top
J1,241.0,-102.0,90.0,top
J2,91.622852,-102.0,90.0,top
J3,224.9,-113.5,90.0,top
J4,230.5,-110.425,0.0,top
Q1,223.78125,-119.95,180.0,top
Q2,222.300146,-103.111992,180.0,top
Q3,94.6,-109.8,270.0,top
Q4,87.6,-90.5,0.0,top
Q5,63.0,-109.5,180.0,top
R1,63.9,-106.1,270.0,top
R10,89.3,-110.5,270.0,top
R11,92.5,-90.3,90.0,top
R12,94.0,-90.3,90.0,top
R13,222.310276,-100.94946,0.0,top
R14,222.400146,-105.254952,180.0,top
R15,97.837763,-113.008033,180.0,top
R16,97.837763,-110.008033,180.0,top
R17,97.837763,-114.508033,180.0,top
R18,97.837763,-111.508033,180.0,top
R19,98.537763,-107.75,90.0,top
R20,65.75625,-109.45,90.0,top
R21,62.1,-106.0625,90.0,top
R22,68.2,-115.6,90.0,top
R23,86.8,-112.0,0.0,top
R24,86.8,-113.5,180.0,top
R25,94.8,-107.0,180.0,top
R26,84.9,-90.925,270.0,top
R27,66.49375,-111.7,0.0,top
R28,83.4375,-90.925,270.0,top
R29,94.8,-105.4,180.0,top
R30,97.3,-89.5,0.0,top
R31,132.175,-125.0,0.0,top
R32,132.175,-123.5,0.0,top
R33,132.175,-122.0,0.0,top
R34,132.2,-120.2,0.0,top
R35,132.2,-118.7,0.0,top
R36,69.35,-88.911809,0.0,top
R37,80.2,-97.0,0.0,top
R38,88.9,-103.2,0.0,top
R39,232.7,-96.6,270.0,top
R40,58.4,-117.9,90.0,top
R6,220.9,-120.2,270.0,top
R7,233.5,-99.9,0.0,top
R8,239.8,-112.3,90.0,top
R9,234.4,-104.7,90.0,top
S1,177.376677,-120.5,0.0,bottom
S10,174.876677,-102.0,0.0,bottom
S11,220.376677,-118.0,0.0,bottom
S12,207.876677,-117.0,0.0,bottom
S13,220.376677,-86.0,0.0,bottom
S14,220.376677,-107.333333,0.0,bottom
S15,220.376677,-96.666667,0.0,bottom
S16,136.376677,-120.5,0.0,bottom
S17,55.93694,-119.005171,270.0,bottom
S18,177.376677,-83.5,0.0,bottom
S19,150.876677,-102.0,0.0,bottom
S2,190.876677,-117.0,0.0,bottom
S20,162.876677,-90.0,0.0,bottom
S22,136.376677,-108.166667,0.0,bottom
S23,148.376677,-83.5,0.0,bottom
S24,136.376677,-95.833333,0.0,bottom
S25,136.376677,-83.5,0.0,bottom
S26,73.4,-123.3,180.0,top
S3,207.876677,-87.0,0.0,bottom
S4,190.876677,-102.0,0.0,bottom
S5,207.876677,-102.0,0.0,bottom
S6,148.376677,-120.5,0.0,bottom
S7,162.876677,-114.0,0.0,bottom
S8,190.876677,-87.0,0.0,bottom
S9,162.876677,-102.0,0.0,bottom
U1,237.0,-112.5,0.0,top
U2,86.2,-107.2,180.0,top
U3,228.0,-103.25,180.0,top
U4,233.7,-102.05,180.0,top
U5,89.75,-84.786992,90.0,top
U6,55.4,-116.3,90.0,top
U7,76.85,-91.55,0.0,top
U8,235.8375,-109.05,180.0,top
