Designator,Mid X,Mid Y,Rotation,Layer
C1,236.2,-91.2,270.0,top
C10,88.325,-85.263008,90.0,top
C11,64.667217,-110.097966,270.0,top
C12,58.4,-114.9,90.0,top
C13,68.0,-102.5,180.0,top
C15,67.075,-114.85,270.0,top
C16,95.35,-113.45,90.0,top
C17,89.825,-85.263008,90.0,top
C18,76.45,-105.175,270.0,top
C2,238.7,-109.1,90.0,top
C20,226.25,-96.52,90.0,top
C21,68.0,-104.5,180.0,top
C22,67.75,-100.7,0.0,top
C23,98.0,-89.75,270.0,top
C24,227.5,-109.2,0.0,top
C25,97.6,-93.65,270.0,top
C26,239.5,-111.4,180.0,top
C28,238.0,-91.4,90.0,top
C29,120.225,-116.8625,180.0,top
C3,88.468383,-115.275,180.0,top
C4,233.043,-109.195114,90.0,top
C5,226.15,-90.95,90.0,top
C6,88.468383,-109.075,0.0,top
C7,89.75,-93.7,270.0,top
C8,91.75,-93.7,270.0,top
C9,99.4,-93.9,90.0,top
D1,226.75,-119.95,270.0,top
D10,152.85,-91.9,180.0,bottom
D11,173.1,-91.8,0.0,bottom
D12,199.4,-117.0,0.0,bottom
D13,199.4,-102.0,0.0,bottom
D14,199.4,-87.0,0.0,bottom
D15,136.376677,-102.0,180.0,bottom
D16,57.75,-124.2,180.0,bottom
D2,59.676677,-102.0,90.0,top
D3,81.7375,-82.45,180.0,top
D4,226.7,-87.0,180.0,top
D5,64.571875,-106.275,90.0,top
D6,136.376677,-89.65,180.0,bottom
D7,136.376677,-114.35,180.0,bottom
D8,152.9,-112.05,180.0,bottom
D9,173.1,-112.05,0.0,bottom
F1,232.9,-96.4,0.0,top
J1,239.67,-102.0,90.0,top
J2,102.89,-101.96,270.0,top
J3,224.9,-113.5,270.0,top
J5,76.0,-116.0,0.0,top
Q1,223.78125,-119.95,0.0,top
Q2,222.300146,-103.111992,180.0,top
Q3,94.6,-109.8,90.0,top
Q4,94.6625,-93.7,180.0,top
Q5,61.971875,-109.875,270.0,top
Q6,236.3,-113.2,90.0,top
Q7,73.7625,-105.1625,90.0,top
R1,63.071875,-106.275,270.0,top
R10,120.225,-115.3625,180.0,top
R11,92.5,-89.85,90.0,top
R12,94.0,-89.85,90.0,top
R13,222.310276,-100.94946,0.0,top
R14,222.400146,-105.254952,180.0,top
R15,97.837763,-113.008033,180.0,top
R16,97.837763,-110.008033,180.0,top
R17,97.837763,-114.508033,180.0,top
R18,97.837763,-111.508033,180.0,top
R19,98.3,-103.15,180.0,top
R2,72.8,-100.975,180.0,top
R20,61.9,-112.6,0.0,top
R21,61.271875,-106.2375,90.0,top
R22,65.375,-114.85,90.0,top
R23,133.4,-102.0,180.0,bottom
R24,72.8,-102.475,180.0,top
R25,94.8,-107.0,180.0,top
R26,91.0,-90.475,90.0,top
R27,62.0,-114.1,0.0,top
R28,88.75,-91.25,180.0,top
R29,94.8,-105.4,180.0,top
R3,233.8,-113.1,270.0,top
R30,96.5,-89.75,270.0,top
R31,133.4,-89.65,180.0,bottom
R32,133.4,-114.35,180.0,bottom
R33,152.9,-110.55,0.0,bottom
R34,173.1,-110.55,180.0,bottom
R35,152.85,-93.4,0.0,bottom
R36,79.0,-105.5,270.0,top
R37,81.75,-80.95,0.0,top
R38,173.1,-93.3,180.0,bottom
R39,226.7,-88.5,0.0,top
R4,232.3,-113.1,270.0,top
R40,58.4,-117.9,90.0,top
R41,199.4,-115.5,180.0,bottom
R42,199.4,-100.5,180.0,bottom
R43,199.4,-85.5,180.0,bottom
R44,57.05,-123.25,270.0,top
R5,84.75,-82.475,180.0,top
R6,220.9,-120.2,270.0,top
R7,233.5,-99.9,0.0,top
R8,236.2,-94.4,90.0,top
R9,234.4,-104.7,90.0,top
S1,177.376677,-120.5,180.0,bottom
S10,174.876677,-102.0,180.0,bottom
S11,220.376677,-118.0,180.0,bottom
S12,207.876677,-117.0,180.0,bottom
S13,220.376677,-86.0,180.0,bottom
S14,220.376677,-107.333333,180.0,bottom
S15,220.376677,-96.666667,180.0,bottom
S16,136.376677,-120.5,180.0,bottom
S17,55.93694,-119.005171,270.0,bottom
S18,177.376677,-83.5,180.0,bottom
S19,150.876677,-102.0,180.0,bottom
S2,190.876677,-117.0,180.0,bottom
S20,162.876677,-90.0,180.0,bottom
S22,136.376677,-108.166667,180.0,bottom
S23,148.376677,-83.5,180.0,bottom
S24,136.376677,-95.833333,180.0,bottom
S25,136.376677,-83.5,180.0,bottom
S26,63.15,-120.625,90.0,top
S3,207.876677,-87.0,180.0,bottom
S4,190.876677,-102.0,180.0,bottom
S5,207.876677,-102.0,180.0,bottom
S6,148.376677,-120.5,180.0,bottom
S7,162.876677,-114.0,180.0,bottom
S8,190.876677,-87.0,180.0,bottom
S9,162.876677,-102.0,180.0,bottom
U1,239.7,-114.2,270.0,top
U11,231.64,-92.15,90.0,top
U12,124.825,-118.125,90.0,top
U2,88.468383,-112.175,90.0,top
U3,228.0,-103.25,90.0,top
U4,233.7,-102.05,90.0,top
U5,92.375,-85.75,90.0,top
U6,56.58,-116.3,270.0,top
U7,69.89,-89.5,90.0,top
U8,235.8375,-109.05,90.0,top
U9,223.6,-96.75,90.0,top
